File,Mean,Median,Variance,Standard Deviation,Min,Max
p1,15.793474209169792,14.518882751464844,74.7489257245848,8.645746105720708,1.6550500392913818,435.8713989257813
p2,16.26338837182726,14.96755599975586,77.21928818764516,8.787450607977558,1.6553171873092651,441.4888610839844
p3,16.25348963146196,14.955866813659668,77.11384935091164,8.781449160070999,1.6588444709777832,446.535400390625
p4,16.20263104818683,14.867608070373535,79.09224019214867,8.893381819766239,1.6666224002838137,445.4977416992188
p5,15.863619361013042,14.576319694519045,75.71660556652765,8.701528921202735,1.6670992374420166,438.3931274414063
np,15.611504818462867,14.508076190948486,64.88297139303174,8.054996672440762,1.5963479280471802,413.1124267578125
