Sample,File,Log Likelihood,# of Tokens,Perplexity
1,chunk_2203.txt,2.8402369022369385,478,17.119821548461914
2,chunk_50822.txt,2.7253942489624023,962,15.262430191040039
3,chunk_4352.txt,2.597740411758423,773,13.433349609375
4,chunk_57669.txt,2.7733418941497803,543,16.012056350708008
5,chunk_42142.txt,3.6995809078216553,112,40.430355072021484
6,chunk_44372.txt,2.486807346343994,879,12.022830963134766
7,chunk_48094.txt,2.6779825687408447,784,14.555699348449707
8,chunk_16891.txt,2.8488290309906006,501,17.267549514770508
9,chunk_44182.txt,2.6231541633605957,818,13.7791166305542
10,chunk_30231.txt,1.7850723266601562,578,5.960011005401611
11,chunk_41229.txt,2.72141695022583,712,15.201848030090332
12,chunk_32549.txt,1.9021762609481812,704,6.700460910797119
13,chunk_23252.txt,2.0088388919830322,845,7.454656600952148
14,chunk_35644.txt,2.305272340774536,1475,10.026908874511719
15,chunk_6100.txt,2.426339626312256,634,11.31737995147705
16,chunk_32165.txt,2.8739469051361084,818,17.706768035888672
17,chunk_53943.txt,2.504610776901245,795,12.238794326782227
18,chunk_40764.txt,1.743499755859375,488,5.717317581176758
19,chunk_29772.txt,5.258691787719727,86,192.22984313964844
20,chunk_23752.txt,2.498028039932251,956,12.15849494934082
21,chunk_37803.txt,5.220425128936768,88,185.0128173828125
22,chunk_41659.txt,2.202571153640747,871,9.048247337341309
23,chunk_48924.txt,2.3492987155914307,738,10.478219032287598
24,chunk_52060.txt,1.52671217918396,1039,4.603018283843994
25,chunk_59527.txt,2.481989860534668,547,11.965048789978027
26,chunk_13848.txt,2.6815781593322754,1156,14.608128547668457
27,chunk_17691.txt,3.0535857677459717,458,21.191194534301758
28,chunk_22148.txt,2.8774428367614746,590,17.768775939941406
29,chunk_25742.txt,2.6089344024658203,610,13.58456802368164
30,chunk_19134.txt,1.5953264236450195,945,4.929937839508057
31,chunk_12334.txt,2.5395631790161133,1145,12.67413330078125
32,chunk_22776.txt,2.6685025691986084,538,14.418362617492676
33,chunk_6512.txt,3.003680467605591,730,20.159597396850586
34,chunk_16752.txt,2.742626905441284,650,15.527721405029297
35,chunk_10429.txt,2.972600221633911,1042,19.54266929626465
36,chunk_26273.txt,2.789705276489258,808,16.276222229003906
37,chunk_23381.txt,3.0269176959991455,587,20.63353729248047
38,chunk_38762.txt,2.97123646736145,779,19.516035079956055
39,chunk_18038.txt,2.4922986030578613,1646,12.089032173156738
40,chunk_49300.txt,2.680318832397461,572,14.589744567871094
41,chunk_43091.txt,2.521484136581421,691,12.447056770324707
42,chunk_6540.txt,2.4327030181884766,1403,11.389627456665039
43,chunk_24226.txt,2.5750746726989746,696,13.132298469543457
44,chunk_61668.txt,2.6431725025177,904,14.057730674743652
45,chunk_36920.txt,2.446840286254883,370,11.551788330078125
46,chunk_43553.txt,2.726412057876587,765,15.277972221374512
47,chunk_20245.txt,2.8813724517822266,838,17.83873748779297
48,chunk_51383.txt,2.745842218399048,666,15.577728271484375
49,chunk_45706.txt,2.7517354488372803,1049,15.66980266571045
50,chunk_46036.txt,3.2610769271850586,108,26.077604293823242
51,chunk_57260.txt,1.4512319564819336,353,4.268370151519775
52,chunk_15675.txt,2.7627453804016113,925,15.843279838562012
53,chunk_12576.txt,2.4229257106781006,1023,11.278809547424316
54,chunk_19655.txt,2.7337138652801514,1371,15.389937400817871
55,chunk_19374.txt,2.677915334701538,1185,14.554719924926758
56,chunk_43405.txt,2.176173686981201,3512,8.812521934509277
57,chunk_54440.txt,2.887827157974243,756,17.954256057739258
58,chunk_63098.txt,2.6422996520996094,803,14.045466423034668
59,chunk_34225.txt,3.24790096282959,771,25.73626136779785
60,chunk_19506.txt,2.1985909938812256,982,9.012306213378906
61,chunk_219.txt,2.7117509841918945,542,15.055614471435547
62,chunk_33894.txt,2.9559595584869385,567,19.220157623291016
63,chunk_25289.txt,3.0241570472717285,950,20.57665252685547
64,chunk_1347.txt,2.5596556663513184,2885,12.931364059448242
65,chunk_39498.txt,2.6605141162872314,960,14.303641319274902
66,chunk_52870.txt,2.4970855712890625,890,12.147041320800781
67,chunk_38029.txt,10.464224815368652,69,35039.2734375
68,chunk_3463.txt,2.3740267753601074,997,10.740555763244629
69,chunk_55195.txt,3.0651800632476807,566,21.438322067260742
70,chunk_56941.txt,3.1287100315093994,1165,22.844491958618164
71,chunk_16196.txt,3.010392665863037,778,20.295368194580078
72,chunk_53957.txt,2.3161566257476807,1298,10.136640548706055
73,chunk_7523.txt,2.904942274093628,603,18.264188766479492
74,chunk_11147.txt,2.8398351669311523,808,17.112945556640625
75,chunk_33192.txt,2.6407666206359863,646,14.023950576782227
76,chunk_188.txt,2.7014527320861816,425,14.90136432647705
