Sample,File,Log Likelihood,# of Tokens,Perplexity
7192,chunk_19709.txt,nan,48,nan
10064,chunk_19750.txt,nan,48,nan
67,chunk_38029.txt,10.19835377,55,26858.93359
3716,chunk_48653.txt,10.33453083,55,30777.24219
19524,chunk_14502.txt,10.91153717,55,54805.02734
47206,chunk_10324.txt,10.24700356,55,28197.91992
1486,chunk_19893.txt,10.54560947,56,38010.1875
11461,chunk_28514.txt,10.57779026,56,39253.27734
11951,chunk_56764.txt,10.80583763,56,49307.80469
16328,chunk_8347.txt,10.77405548,56,47765.33594
19077,chunk_56321.txt,10.82091236,56,50056.73438
30349,chunk_33558.txt,10.64177608,56,41847.03125
30389,chunk_33562.txt,10.52532101,56,37246.78906
35647,chunk_34514.txt,10.24513626,56,28145.31641
36021,chunk_51421.txt,10.41979027,56,33516.40234
55554,chunk_16104.txt,10.92479134,56,55536.25781
58615,chunk_24786.txt,10.66191959,56,42698.52344
1457,chunk_58079.txt,8.781620979,57,6513.426758
3827,chunk_19908.txt,8.830997467,57,6843.108887
5891,chunk_4506.txt,8.815065384,57,6734.948242
6001,chunk_34103.txt,8.52971077,57,5062.980957
6062,chunk_27515.txt,8.700481415,57,6005.803223
6105,chunk_14477.txt,8.798882484,57,6626.834473
6122,chunk_61936.txt,9.138755798,57,9309.175781
6519,chunk_53342.txt,8.70973587,57,6061.641113
7035,chunk_24320.txt,8.808561325,57,6691.286133
9005,chunk_28395.txt,8.801192284,57,6642.158691
9167,chunk_55209.txt,8.589335442,57,5374.041016
9615,chunk_63031.txt,8.719824791,57,6123.106445
10202,chunk_4543.txt,8.907481194,57,7387.03125
12890,chunk_37069.txt,8.589431763,57,5374.558594
14753,chunk_59055.txt,8.673545837,57,5846.192871
16155,chunk_51928.txt,8.643013954,57,5670.394531
16354,chunk_40075.txt,8.69948864,57,5999.84375
17491,chunk_28579.txt,8.779460907,57,6499.372559
18301,chunk_10343.txt,8.842276573,57,6920.72998
19892,chunk_18875.txt,8.938271523,57,7618.018066
20265,chunk_53691.txt,8.885917664,57,7229.445801
21863,chunk_58516.txt,8.556800842,57,5202.012695
22597,chunk_51933.txt,8.781712532,57,6514.023438
24179,chunk_52085.txt,8.429135323,57,4578.539551
24421,chunk_35658.txt,8.913330078,57,7430.363281
24784,chunk_28591.txt,8.614454269,57,5510.740234
26085,chunk_45830.txt,8.53271389,57,5078.208984
27692,chunk_45873.txt,8.863996506,57,7072.692383
28536,chunk_25281.txt,8.882804871,57,7206.977051
29802,chunk_7907.txt,9.439077377,57,12570.11426
30053,chunk_60188.txt,8.653720856,57,5731.433105
31562,chunk_24801.txt,8.508109093,57,4954.785156
31982,chunk_12883.txt,9.648591995,57,15499.94824
33000,chunk_46062.txt,8.80701828,57,6680.96875
34683,chunk_45003.txt,8.96125412,57,7795.127441
34843,chunk_55223.txt,8.550022125,57,5166.869141
35489,chunk_427.txt,8.4920187,57,4875.69873
36003,chunk_11871.txt,8.645625114,57,5685.219727
36370,chunk_2481.txt,8.79357338,57,6591.744629
36650,chunk_10326.txt,8.921227455,57,7489.276367
37611,chunk_61166.txt,8.770403862,57,6440.772949
37958,chunk_29184.txt,9.251927376,57,10424.63867
38525,chunk_25668.txt,8.764738083,57,6404.384277
38927,chunk_35452.txt,8.671499252,57,5834.240234
39092,chunk_4884.txt,8.490343094,57,4867.536133
41730,chunk_43366.txt,8.670789719,57,5830.102051
44512,chunk_23905.txt,8.752407074,57,6325.896484
45880,chunk_38487.txt,8.838554382,57,6895.018066
45986,chunk_57769.txt,8.624592781,57,5566.895508
46723,chunk_39996.txt,8.608500481,57,5478.027832
46766,chunk_47030.txt,8.390202522,57,4403.709473
47012,chunk_28531.txt,8.780488968,57,6506.057617
48143,chunk_10319.txt,8.820973396,57,6774.855957
49079,chunk_52632.txt,8.844457626,57,6935.841309
49433,chunk_42150.txt,8.632498741,57,5611.081055
50115,chunk_5415.txt,8.946689606,57,7682.417969
50200,chunk_59299.txt,8.52381134,57,5033.200684
50594,chunk_19906.txt,8.661808014,57,5777.972168
