Sample,File,Log Likelihood,# of Tokens,Perplexity
1,chunk_61255.txt,1.8144139051437378,847,6.137478351593018
2,chunk_2203.txt,2.8317577838897705,416,16.97527503967285
3,chunk_50822.txt,2.738211154937744,900,15.459306716918945
4,chunk_4352.txt,2.593491554260254,711,13.376395225524902
5,chunk_57669.txt,2.778923511505127,481,16.1016788482666
6,chunk_42142.txt,3.803715705871582,50,44.867591857910156
7,chunk_44372.txt,2.4559853076934814,817,11.657915115356445
8,chunk_48094.txt,2.682908296585083,722,14.627573013305664
9,chunk_16891.txt,2.8857409954071045,439,17.916837692260742
10,chunk_44182.txt,2.645400047302246,756,14.089080810546875
11,chunk_30231.txt,1.7938793897628784,516,6.012733459472656
12,chunk_41229.txt,2.7149829864501953,650,15.104352951049805
13,chunk_32549.txt,1.9383636713027954,642,6.947373867034912
14,chunk_23252.txt,1.959563136100769,783,7.096226215362549
15,chunk_35644.txt,2.3229820728302,1413,10.206064224243164
16,chunk_6100.txt,2.471850872039795,572,11.844348907470703
17,chunk_32165.txt,2.859807014465332,756,17.458158493041992
18,chunk_53943.txt,2.4602177143096924,733,11.70736026763916
19,chunk_40764.txt,1.7602818012237549,426,5.814075946807861
20,chunk_29772.txt,5.295197010040283,24,199.3769073486328
21,chunk_23752.txt,2.491482734680176,894,12.07917308807373
22,chunk_37803.txt,5.5374603271484375,26,254.0320281982422
23,chunk_41659.txt,2.2286853790283203,809,9.28764820098877
24,chunk_48924.txt,2.358464002609253,676,10.57469654083252
25,chunk_52060.txt,1.5251193046569824,977,4.595691680908203
26,chunk_59527.txt,2.4736268520355225,485,11.865403175354004
27,chunk_13848.txt,2.692420244216919,1094,14.767374038696289
28,chunk_17691.txt,3.074237585067749,396,21.633380889892578
29,chunk_22148.txt,2.8591480255126953,528,17.4466552734375
30,chunk_25742.txt,2.603168249130249,548,13.506462097167969
31,chunk_19134.txt,1.5722721815109253,883,4.817582130432129
32,chunk_12334.txt,2.553258180618286,1083,12.848899841308594
33,chunk_22776.txt,2.648104667663574,476,14.127238273620605
34,chunk_6512.txt,2.9833929538726807,668,19.754730224609375
35,chunk_16752.txt,2.7790489196777344,588,16.10369873046875
36,chunk_10429.txt,2.99603533744812,980,20.006061553955078
37,chunk_26273.txt,2.7902653217315674,746,16.28533935546875
38,chunk_23381.txt,3.0540449619293213,525,21.200927734375
39,chunk_38762.txt,2.942944288253784,717,18.971622467041016
40,chunk_18038.txt,2.5010945796966553,1584,12.195837020874023
41,chunk_49300.txt,2.66029691696167,510,14.300535202026367
42,chunk_43091.txt,2.516342878341675,629,12.383227348327637
43,chunk_6540.txt,2.4252872467041016,1341,11.305477142333984
44,chunk_24226.txt,2.5275070667266846,634,12.522250175476074
45,chunk_61668.txt,2.6148293018341064,842,13.664883613586426
46,chunk_36920.txt,2.476668119430542,308,11.901544570922852
47,chunk_43553.txt,2.7254912853240967,703,15.263911247253418
48,chunk_20245.txt,2.888577699661255,776,17.967737197875977
49,chunk_51383.txt,2.7678351402282715,604,15.92412281036377
50,chunk_45706.txt,2.754016399383545,987,15.705585479736328
51,chunk_46036.txt,3.185288429260254,46,24.174259185791016
52,chunk_57260.txt,1.4276012182235718,291,4.168687343597412
53,chunk_15675.txt,2.760446548461914,863,15.806900024414062
54,chunk_12576.txt,2.4162516593933105,961,11.203784942626953
55,chunk_19655.txt,2.7467246055603027,1309,15.591480255126953
56,chunk_19374.txt,2.6955738067626953,1123,14.814017295837402
57,chunk_43405.txt,2.18552827835083,3450,8.895346641540527
58,chunk_54440.txt,2.9189302921295166,694,18.521465301513672
59,chunk_63098.txt,2.6584274768829346,741,14.273825645446777
60,chunk_34225.txt,3.2910289764404297,709,26.870498657226562
61,chunk_19506.txt,2.2027852535247803,920,9.050185203552246
62,chunk_219.txt,2.6820478439331055,480,14.614992141723633
63,chunk_33894.txt,2.939699172973633,505,18.91015625
64,chunk_25289.txt,3.0018985271453857,888,20.12370491027832
65,chunk_1347.txt,2.5656511783599854,2823,13.009127616882324
66,chunk_39498.txt,2.657320976257324,898,14.258040428161621
67,chunk_52870.txt,2.499601364135742,828,12.177638053894043
68,chunk_38029.txt,11.378263473510742,7,87401.1328125
69,chunk_3463.txt,2.376981019973755,935,10.772333145141602
70,chunk_55195.txt,3.0084738731384277,504,20.2564640045166
71,chunk_56941.txt,3.120455741882324,1103,22.656702041625977
72,chunk_16196.txt,3.025505542755127,716,20.60441780090332
73,chunk_53957.txt,2.317856550216675,1236,10.153885841369629
74,chunk_7523.txt,2.851614236831665,541,17.315710067749023
