Sample,File,Log Likelihood,# of Tokens,Perplexity
1,chunk_61255.txt,1.8157533407211304,847,6.145704746246338
2,chunk_2203.txt,2.8374218940734863,416,17.071697235107422
3,chunk_50822.txt,2.7338671684265137,900,15.392297744750977
4,chunk_4352.txt,2.5913195610046387,711,13.347373008728027
5,chunk_57669.txt,2.8091039657592773,481,16.595041275024414
6,chunk_42142.txt,3.9722445011138916,50,53.10359191894531
7,chunk_44372.txt,2.444918394088745,817,11.529609680175781
8,chunk_48094.txt,2.6949357986450195,722,14.80456829071045
9,chunk_16891.txt,2.9232115745544434,439,18.600929260253906
10,chunk_44182.txt,2.6271307468414307,756,13.834020614624023
11,chunk_30231.txt,1.7940934896469116,516,6.014020919799805
12,chunk_41229.txt,2.6895267963409424,650,14.724706649780273
13,chunk_32549.txt,1.9801831245422363,642,7.2440690994262695
14,chunk_23252.txt,1.963513970375061,783,7.1243181228637695
15,chunk_35644.txt,2.331766366958618,1413,10.296112060546875
16,chunk_6100.txt,2.4666123390197754,572,11.782464027404785
17,chunk_32165.txt,2.8403966426849365,756,17.122556686401367
18,chunk_53943.txt,2.449978828430176,733,11.588101387023926
19,chunk_40764.txt,1.7667895555496216,426,5.8520355224609375
20,chunk_29772.txt,6.238138675689697,24,511.90478515625
21,chunk_23752.txt,2.4983274936676025,894,12.16213607788086
22,chunk_37803.txt,6.103823184967041,26,447.5656433105469
23,chunk_41659.txt,2.229984760284424,809,9.299724578857422
24,chunk_48924.txt,2.3402841091156006,676,10.384185791015625
25,chunk_52060.txt,1.5148423910140991,977,4.548704147338867
26,chunk_59527.txt,2.486539840698242,485,12.019614219665527
27,chunk_13848.txt,2.6979990005493164,1094,14.849987030029297
28,chunk_17691.txt,3.1049792766571045,396,22.30875587463379
29,chunk_22148.txt,2.8677752017974854,528,17.597824096679688
30,chunk_25742.txt,2.591731309890747,548,13.352869987487793
31,chunk_19134.txt,1.5854750871658325,883,4.881609916687012
32,chunk_12334.txt,2.5609476566314697,1083,12.94808292388916
33,chunk_22776.txt,2.6408205032348633,476,14.024706840515137
34,chunk_6512.txt,2.9617249965667725,668,19.331289291381836
35,chunk_16752.txt,2.7570321559906006,588,15.753021240234375
36,chunk_10429.txt,2.9616522789001465,980,19.329883575439453
37,chunk_26273.txt,2.7908124923706055,746,16.294252395629883
38,chunk_23381.txt,3.0268564224243164,525,20.632272720336914
39,chunk_38762.txt,2.9467453956604004,717,19.043872833251953
40,chunk_18038.txt,2.4929301738739014,1584,12.09666919708252
41,chunk_49300.txt,2.6755330562591553,510,14.520087242126465
42,chunk_43091.txt,2.5084328651428223,629,12.285661697387695
43,chunk_6540.txt,2.4276084899902344,1341,11.33174991607666
44,chunk_24226.txt,2.510075092315674,634,12.305854797363281
45,chunk_61668.txt,2.611494541168213,842,13.619390487670898
46,chunk_36920.txt,2.4841794967651367,308,11.991277694702148
47,chunk_43553.txt,2.735585927963257,703,15.418774604797363
48,chunk_20245.txt,2.887486457824707,776,17.948139190673828
49,chunk_51383.txt,2.7815592288970947,604,16.144174575805664
50,chunk_45706.txt,2.750495433807373,987,15.650382995605469
51,chunk_46036.txt,3.4037935733795166,46,30.077987670898438
52,chunk_57260.txt,1.46322762966156,291,4.31988000869751
53,chunk_15675.txt,2.754410743713379,863,15.711779594421387
54,chunk_12576.txt,2.42069673538208,961,11.253697395324707
55,chunk_19655.txt,2.741093635559082,1309,15.503931999206543
56,chunk_19374.txt,2.6866612434387207,1123,14.682572364807129
57,chunk_43405.txt,2.188316822052002,3450,8.920186042785645
58,chunk_54440.txt,2.9732272624969482,694,19.554927825927734
59,chunk_63098.txt,2.6379411220550537,741,13.984381675720215
60,chunk_34225.txt,3.2894508838653564,709,26.828128814697266
61,chunk_19506.txt,2.214770793914795,920,9.159309387207031
62,chunk_219.txt,2.682507038116455,480,14.621705055236816
63,chunk_33894.txt,2.9087424278259277,505,18.33372688293457
64,chunk_25289.txt,3.009768009185791,888,20.282695770263672
65,chunk_1347.txt,2.5663883686065674,2823,13.018720626831055
66,chunk_39498.txt,2.656635284423828,898,14.248268127441406
67,chunk_52870.txt,2.5029711723327637,828,12.218743324279785
68,chunk_38029.txt,11.602654457092285,7,109387.78125
69,chunk_3463.txt,2.370621681213379,935,10.704045295715332
70,chunk_55195.txt,3.0277976989746094,504,20.651702880859375
71,chunk_56941.txt,3.1218512058258057,1103,22.68834114074707
72,chunk_16196.txt,3.0375771522521973,716,20.85465431213379
73,chunk_53957.txt,2.3214778900146484,1236,10.19072437286377
74,chunk_7523.txt,2.8733019828796387,541,17.695350646972656
75,chunk_11147.txt,2.8606722354888916,746,17.473268508911133
76,chunk_33192.txt,2.6070756912231445,584,13.559342384338379
77,chunk_188.txt,2.6651997566223145,363,14.370820045471191
78,chunk_31399.txt,2.737205982208252,303,15.443775177001953
79,chunk_41317.txt,2.951368808746338,780,19.132123947143555
80,chunk_38185.txt,3.127760171890259,1337,22.822803497314453
81,chunk_12091.txt,2.9838411808013916,805,19.763586044311523
82,chunk_32598.txt,2.6252501010894775,823,13.808027267456055
83,chunk_50215.txt,2.7771472930908203,988,16.073102951049805
84,chunk_9608.txt,3.7010369300842285,350,40.48926544189453
85,chunk_57229.txt,2.4395592212677,829,11.467985153198242
86,chunk_61066.txt,2.8435635566711426,841,17.17686653137207
87,chunk_34210.txt,2.353374481201172,868,10.521013259887695
88,chunk_28979.txt,2.9847893714904785,780,19.78233528137207
89,chunk_12361.txt,2.432058811187744,1484,11.382292747497559
90,chunk_52889.txt,2.3661344051361084,1600,10.656120300292969
91,chunk_12573.txt,2.854370594024658,894,17.36350440979004
92,chunk_11740.txt,2.507280111312866,439,12.27150821685791
93,chunk_15523.txt,3.01590633392334,473,20.40757942199707
94,chunk_11596.txt,2.7488467693328857,734,15.624603271484375
95,chunk_1465.txt,3.0379323959350586,549,20.862064361572266
96,chunk_12057.txt,2.667813777923584,2361,14.408434867858887
97,chunk_32108.txt,2.8678011894226074,853,17.59827995300293
98,chunk_50844.txt,2.4270453453063965,815,11.325370788574219
